제목,저자,생년,몰년,활동연도,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類
四名子詩集,車佐一,1753,1809,1781,0,0,0.714285714,99.28571429,0,0,0
思亭集,崔基大,1750,1813,1781,0,7.228915663,6.626506024,77.71084337,2.409638554,5.421686747,0.602409639
東?集,金養根,1754,1809,1781,0,6.237006237,6.029106029,67.98336798,7.9002079,6.860706861,4.98960499
貞窩先生文集,黃龍漢,1744,1818,1781,0,9.607843137,5.882352941,73.33333333,3.725490196,1.176470588,6.274509804
水村集,高廷鳳,1743,1822,1782,0,10.95890411,2.739726027,78.08219178,0,5.936073059,2.283105023
葛山集,權宗洛,1745,1819,1782,0,0.99009901,2.97029703,87.12871287,6.930693069,1.98019802,0
華泉集,李采,1745,1820,1782,0,23.38204593,5.636743215,45.09394572,13.15240084,2.505219207,10.22964509
養正齋遺稿,李福謙,1744,1823,1783,0,0,1.19760479,98.80239521,0,0,0
壺谷集,柳範休,1744,1823,1783,0,75.72463768,7.971014493,3.985507246,2.898550725,1.811594203,7.608695652
晩軒遺稿,盧國賓,1747,1821,1784,0,6.701030928,1.546391753,79.89690722,6.701030928,5.154639175,0
明庵文集,都禹璟,1755,1813,1784,0,9.090909091,2.371541502,58.1027668,14.22924901,13.43873518,2.766798419
竹麓遺稿,尹孝寬,1745,1823,1784,0,0,9.230769231,75.38461538,11.28205128,1.025641026,3.076923077
黃坡遺稿,崔愼之,1748,1822,1785,0,7.352941176,0.735294118,79.41176471,4.411764706,8.088235294,0
太湖集,洪元燮,1750,1820,1785,0,3.680981595,7.055214724,70.85889571,11.96319018,4.601226994,1.840490798
槐泉先生文集,柳汶龍,1753,1821,1787,0,12.44813278,5.809128631,63.48547718,12.44813278,4.149377593,1.659751037
質庵文集,崔璧,1762,1813,1787,0,12.06896552,4.310344828,39.65517241,10.34482759,31.89655172,1.724137931
道村遺稿,金仁恒,1749,1828,1788,0,0,4.371584699,91.2568306,0.546448087,2.732240437,1.092896175
下廬先生文集,黃德吉,1750,1827,1788,0,19.1011236,21.06741573,30.05617978,0,12.92134831,16.85393258
杏亭文集,李之翰,1749,1827,1788,0,0.436681223,0.436681223,97.81659389,0.873362445,0.436681223,0
疎翁遺稿,成德雨,1752,1827,1789,0,4.149377593,1.244813278,78.42323651,6.639004149,2.489626556,7.053941909
鵝湖遺藁,金輝運(熙運),1756,1823,1789,0,0,1.5625,96.09375,0.78125,1.5625,0
一?遺稿,金相日(相彦),1756,1822,1789,0,0,2.166064982,93.14079422,1.444043321,3.249097473,0
思軒文集,鄭來成,1744,1835,1789,0,10.3286385,7.981220657,59.15492958,14.55399061,7.042253521,0.938967136
甘華文集,李鼎益,1753,1826,1789,0,1.204819277,1.927710843,87.46987952,5.060240964,3.614457831,0.722891566
悅菴文集,夏時贊,1750,1828,1789,0,21.38728324,4.335260116,59.8265896,7.514450867,5.780346821,1.156069364
士農窩文集,河益範,1767,1813,1790,0,6.034482759,1.724137931,76.72413793,14.65517241,0,0.862068966
菁川家稿,柳正鐸,1752,1829,1790,0,9.665427509,1.858736059,74.72118959,8.550185874,1.486988848,3.717472119
石淵文集,李禹世,1751,1830,1790,0,15.33742331,7.975460123,37.42331288,23.92638037,6.748466258,8.588957055
誠齋先生文集,南漢?(漢濯),1760,1821,1790,0,79.76878613,2.89017341,8.670520231,8.670520231,0,0
弦窩集,尹東野,1757,1827,1792,0,14.77272727,5.681818182,69.03409091,7.670454545,2.272727273,0.568181818
一一齋先生文集,金是瓚,1754,1831,1792,0,4.214559387,3.448275862,79.69348659,9.195402299,0.766283525,2.681992337
